"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 20 19:10:00 CST 2025","Sun Apr 20 19:10:01 CST 2025","247","tests","test_UserInfo","","","","test_UserInfo[data1]",""
"passed","Sun Apr 20 19:10:00 CST 2025","Sun Apr 20 19:10:00 CST 2025","306","tests","test_UserInfo","","","","test_UserInfo[data0]",""
